time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z,Pelvis_Gyro_X,Pelvis_Gyro_Y,Pelvis_Gyro_Z,Lower spine_Gyro_X,Lower spine_Gyro_Y,Lower spine_Gyro_Z,Upper spine_Gyro_X,Upper spine_Gyro_Y,Upper spine_Gyro_Z
0.255,1,0,0,9.7683427734375,-0.09075520667631391,0.9307458953980006,9.82580361328125,0.0895581058511391,-0.09382277755553431,9.16979235888877,0.1479167713333835,3.5601778688975103,-1.828125,0.5532226563,-0.1447753906,-2.478515625,0.3107910156,-0.05972290039,0.4506835938,0.8505859375,0.3015136719
0.26,1,0,0,9.777919580078125,-0.1245733050855685,0.937928500329436,9.82580361328125,0.06352116279571406,-0.07167641220154065,9.174580761718751,0.14021043470757752,3.552995263671875,-1.887695313,0.7841796875,-0.2476806641,-1.852539063,0.1746826172,-0.5209960938,0.5356445313,0.6889648438,-0.01082611084
0.265,1,0,0,9.758765966796876,-0.10137947654877351,0.951695159936626,9.835380424825201,0.06984335155563676,-0.06973112335082496,9.188945972170021,0.1123778404634235,3.533841650390625,-2.287109375,0.8461914063,-0.3195800781,-0.4934082031,0.3645019531,-0.6303710938,0.5126953125,0.6572265625,-0.1251220703
0.27,1,0,0,9.76355437060752,-0.116567693331922,0.960673416125437,9.82580361328125,0.04743512039368445,-0.045377603338156956,9.160215552248145,0.09382277755553431,3.5290532475606446,-2.09765625,0.8559570313,-0.4030761719,0.8759765625,0.1791992188,-0.8154296875,0.681640625,0.5786132813,-0.5
0.275,1,0,0,9.777919580078125,-0.128314245213273,0.9469067566163135,9.80665,0.02764554729170535,-0.05577741680099295,9.141061938966896,0.059742813299094456,3.50750543188374,-1.94921875,0.7734375,-0.3549804688,1.748046875,0.3605957031,-0.9931640625,0.3908691406,0.677734375,-0.3996582031
0.28,1,0,0,9.739612353515625,-0.120158995846673,0.9504980591310646,9.797073193359376,0.047547348598496256,-0.0926256767303595,9.141061938966896,0.056787470624685844,3.50750543188374,-1.877929688,0.6748046875,-0.2998046875,1.920898438,0.4870605469,-0.4904785156,0.1015014648,0.6245117188,-0.1916503906
0.285,1,0,0,9.753977563966895,-0.0686462507206553,0.954089361547749,9.80186159717002,0.0646808542225538,-0.13205518534097752,9.102754712404396,0.0690577541317608,3.4859576171875,-1.788085938,0.7685546875,-0.3002929688,1.23046875,0.6669921875,-0.5512695313,0.002599716187,0.5639648438,0.05364990234
0.29,1,0,0,9.730035546875,-0.08267477607696405,0.973242974828999,9.78270798388877,0.099883100517305,-0.1539770943147675,9.09317790576377,0.07328501643782095,3.497928625243115,-1.873046875,0.8388671875,-0.1639404297,-0.2800292969,0.7583007813,-0.4018554688,0.02416992188,0.7416992188,0.2585449219
0.295,1,0,0,9.730035546875,-0.08634089736877186,0.9582792145143141,9.78749638671875,0.0889595554385517,-0.17043723066092098,9.088389501953126,0.100706107339516,3.5098996342793947,-1.955078125,0.7216796875,-0.1552734375,-2.015625,0.7163085938,-0.2902832031,0.2368164063,0.8740234375,0.4094238281
0.3,1,0,0,9.739612353515625,-0.1005564697265625,0.9457096558107521,9.78749638671875,0.09539397239347955,-0.1462707576889615,9.117119921875,0.137068045031687,3.52665904516499,-2.068359375,0.7529296875,0.04254150391,-3.49609375,0.6162109375,-0.3156738281,0.4438476563,0.7075195313,0.5771484375
0.305,1,0,0,9.753977563966895,-0.08678981017821241,0.937928500329436,9.792284790529395,0.07676409072814684,-0.11312602843012451,9.126696728515626,0.140360072320531,3.5122938356943854,-2.3046875,0.673828125,0.203125,-4.015625,0.4401855469,-0.2176513672,0.4526367188,0.546875,0.5864257813
0.31,1,0,0,9.758765966796876,-0.10721534306169399,0.9498995086792505,9.78270798388877,0.0753799428916835,-0.08806172980986395,9.145850341796875,0.1490390533815015,3.5003228276387697,-2.591796875,0.4372558594,0.2047119141,-3.765625,0.306640625,0.05072021484,0.376953125,0.4470214844,0.5258789063
0.315,1,0,0,9.74440075732627,-0.094945059584039,0.931942996203562,9.80186159717002,0.0882113674130108,-0.0693570293380545,9.179369165529396,0.17043723066092098,3.5027170290537604,-3.033203125,0.4143066406,0.1948242188,-3.140625,0.1561279297,0.1936035156,0.2308349609,0.6518554688,0.3732910156
0.32,1,0,0,9.758765966796876,-0.105644148272782,0.9277531433350635,9.835380424825201,0.08604162216247814,-0.066214639662164,9.20809958545127,0.17058686827387448,3.5218706423350103,-3.28515625,0.2543945313,0.06561279297,-2.396484375,0.09954833984,0.3937988281,0.2604980469,0.7416992188,0.05926513672
0.325,1,0,0,9.753977563966895,-0.1104325515930945,0.9498995086792505,9.835380424825201,0.09434650917145161,-0.06363339100052585,9.21288798828125,0.147542677350033,3.533841650390625,-3.64453125,0.1959228516,0.2097167969,-2.056640625,0.3566894531,0.2905273438,0.3369140625,0.7778320313,-0.2319335938
0.33,1,0,0,9.7683427734375,-0.1358709442261255,0.9630676178346266,9.86411083984375,0.121805009491095,-0.0711152711872883,9.222464794921875,0.1420809047223965,3.552995263671875,-3.51171875,0.1818847656,0.1494140625,-1.55078125,0.41015625,-0.06048583984,0.2763671875,0.6840820313,-0.4831542969
0.335,1,0,0,9.773131177248146,-0.119036713798555,0.963666168188374,9.85453403810645,0.155174195120329,-0.0710030429824765,9.227253198732521,0.136544313435383,3.53863005420127,-3.1953125,0.3474121094,-0.003967285156,-1.404296875,0.6489257813,-0.04034423828,0.125,0.5126953125,-0.84765625
